Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[3659.56 --> 3661.28]  met wat hij heeft uitgezocht.
[3661.82 --> 3662.62]  En besef je dus...
[3662.62 --> 3664.56]  als jij dus tien jaar bij een bedrijf werkt...
[3665.12 --> 3665.56]  waar je dus...
[3666.34 --> 3667.16]  nou ja, stel...
[3667.16 --> 3668.36]  dat is een beetje een raar voorbeeld...
[3668.36 --> 3669.92]  want er zijn weinig programmeurs...
[3669.92 --> 3671.98]  die de codebase van hun...
[3671.98 --> 3673.98]  je stel je werkt bij...
[3673.98 --> 3674.98]  de ING...
[3676.24 --> 3677.98]  nou, dat bestaat sowieso uit meerdere codebases...
[3678.50 --> 3679.38]  door de tijd, zeg maar...
[3679.38 --> 3679.98]  die allemaal in een soort van...
[3680.64 --> 3681.98]  stel je voor de aarde met...
[3682.42 --> 3684.98]  met regio's en lijntjes tussen...
[3684.98 --> 3687.02]  dat is een graph waar je u tegen zegt...
[3687.02 --> 3687.98]  Tot je bij COBOL uitkomt...
[3688.64 --> 3690.36]  de onderste sedimentlaag.
[3690.74 --> 3692.22]  Ja, op elkaar gestapeld...
[3692.22 --> 3693.74]  aan elkaar gekoppelde services.
[3694.38 --> 3696.28]  Maar goed, stel dat jij dan verantwoordelijk bent...
[3696.28 --> 3698.28]  in een team en je zit er al twintig jaar...
[3698.28 --> 3698.88]  dan ga je...
[3698.88 --> 3699.92]  op een gegeven moment ben je wel...
[3699.92 --> 3702.06]  op heel veel plekken in die codebase geweest.
[3702.14 --> 3703.42]  Dan heb je intern...
[3703.42 --> 3705.56]  ben je gefinetuned en getraind...
[3705.56 --> 3707.70]  als een uniek model voor dat.
[3707.98 --> 3710.02]  Nou, dit...
[3710.02 --> 3712.08]  ik denk dat er technisch, wetenschappelijk...
[3712.08 --> 3713.78]  niets is wat in de weg staat...
[3713.78 --> 3714.76]  dat jij gaat zeggen...
[3714.76 --> 3716.28]  als ING zijnde...
[3716.28 --> 3718.44]  oké, we hebben geld...
[3718.44 --> 3720.88]  wij gaan wel een echt model trainen...
[3720.88 --> 3722.70]  op onze hele codebase.
[3723.28 --> 3724.58]  En als je daar dan mee gaat praten...
[3724.58 --> 3725.54]  dan kent hij...
[3725.54 --> 3727.36]  kennen is een beetje raar in taalmodellen...
[3727.36 --> 3729.46]  maar dan heeft hij een redelijk intuïtie...
[3729.46 --> 3730.40]  beter woord...
[3730.40 --> 3731.08]  van hoe die...
[3731.08 --> 3731.76]  en dan...
[3731.76 --> 3733.78]  als je dan vragen gaat stellen...
[3733.78 --> 3734.04]  van...
[3734.04 --> 3736.26]  joh, kan je me helpen met dit stukje code...
[3736.26 --> 3737.26]  dan zal hij dat doen...
[3737.26 --> 3739.24]  vanuit de context waarop hij getraind is...
[3739.24 --> 3740.52]  namelijk de hele codebase.
[3740.64 --> 3740.78]  Ja.
[3741.12 --> 3742.80]  En dat dit...
[3742.80 --> 3744.24]  dat is nu nog gewoon te duur...
[3744.24 --> 3745.12]  en onbereikbaar...
[3745.12 --> 3746.54]  voor de gemiddelde programmeur...
[3746.54 --> 3747.28]  voor zover ik weet.
[3747.86 --> 3749.46]  Maar als je dat gaat doen...
[3749.46 --> 3751.14]  en dan is het GPT-5...
[3751.14 --> 3752.56]  en dan ook nog gefinetuned...
[3752.56 --> 3754.04]  op jouw eigen codebase...
[3754.04 --> 3755.46]  dan gaan er wel meer mensen...
[3755.46 --> 3756.72]  die holy shit momenten krijgen.
[3757.10 --> 3758.52]  Die nu een beetje weglachen.
[3758.66 --> 3760.76]  Ik ben benieuwd hoe ver weg dit nog is.
[3760.96 --> 3762.30]  En is dit nu zo dat...
[3762.30 --> 3763.86]  dat dit gewoon...
[3763.86 --> 3765.24]  het oplossen van de...
[3767.24 --> 3770.10]  of het vergroten van dat context window is?
[3770.16 --> 3770.94]  Is dat de crux?
[3771.08 --> 3772.24]  Of is het gewoon...
[3772.90 --> 3774.24]  wie heeft er het eerste...
[3774.24 --> 3776.80]  genoeg geld ingebracht...
[3776.80 --> 3779.16]  om van een redelijk complex stuk software...
[3779.16 --> 3780.66]  de hele codebase...
[3780.66 --> 3782.90]  in het model te nemen?
[3783.72 --> 3784.90]  Door te finetunen.
[3785.02 --> 3786.18]  Want dat moet toch gebeurd zijn?
[3786.18 --> 3786.38]  Alkofiebouw.
[3786.38 --> 3786.84]  Dat laatste.
[3787.50 --> 3788.38]  Want je wil...
[3788.38 --> 3788.94]  zeg maar...
[3788.94 --> 3790.42]  in de basis...
[3790.42 --> 3792.22]  moet het model...
[3792.22 --> 3793.72]  beter worden in programmeren.
[3794.08 --> 3795.80]  Nou daar zijn allemaal benchmarks voor.
[3795.88 --> 3797.20]  Dus ik heb het nu echt over...
[3797.20 --> 3798.28]  taalmodellen...
[3798.28 --> 3799.56]  gefijntuned...
[3799.56 --> 3800.48]  voor programmeren.
[3800.62 --> 3801.40]  Dus bijvoorbeeld...
[3801.40 --> 3802.68]  voor mij heet het...
[3802.68 --> 3804.10]  bij Matt...
[3804.10 --> 3805.62]  dan lama 2 code...
[3805.62 --> 3806.56]  of een andere term.
[3806.62 --> 3807.26]  Maar dan weet je al...
[3807.26 --> 3808.04]  oeh ik moet hier niet...
[3808.04 --> 3809.30]  mijn giedenisvragen aan gaan stellen.
[3809.44 --> 3810.72]  Moet je sowieso niet aan een taalmodel doen.
[3811.02 --> 3812.56]  Maar ik moet hiermee programmeren.
[3812.62 --> 3812.78]  Ja.
[3813.14 --> 3813.70]  Lama code.
[3814.12 --> 3816.56]  En dus je moet beter worden in programmeren...
[3816.56 --> 3818.42]  dan in de taal waarin jij programmeert...
[3818.42 --> 3819.78]  en de manier waarop je programmeert.
[3820.44 --> 3822.06]  Dan moet dat context window omhoog...
[3822.06 --> 3823.10]  want dan kan er meer en meer...
[3823.10 --> 3824.26]  van jouw code tegelijk in.
[3824.46 --> 3825.46]  Dan het taalmodel...
[3825.46 --> 3826.82]  finetunen op de codebase...
[3826.82 --> 3828.22]  waar jij specifiek in werkt.
[3828.32 --> 3831.38]  En als al die dingen beter worden...
[3831.38 --> 3832.78]  niets houdt dat ook in de weg nu.
[3832.86 --> 3834.02]  Er is niet een soort...
[3834.10 --> 3836.20]  voor zover ik heb kunnen vinden...
[3836.20 --> 3837.04]  in de materie...
[3837.04 --> 3838.38]  een wetenschappelijk limiet...
[3838.38 --> 3839.20]  aan de context window.
[3839.82 --> 3840.78]  Daar moet er dan...
[3840.78 --> 3841.84]  meer hardware bij...
[3841.84 --> 3843.36]  en allerlei zaken.
[3843.44 --> 3844.62]  Of een wetenschappelijk limiet...
[3844.62 --> 3846.04]  aan finetunen.
[3846.56 --> 3847.16]  Dus ik...
[3847.16 --> 3848.16]  ik denk in dat opzicht...
[3848.16 --> 3848.48]  dat het...
[3848.48 --> 3851.38]  jaren...
[3851.38 --> 3853.76]  maar niet decennia weg is...
[3853.76 --> 3855.48]  dat steeds meer en meer mensen...
[3855.48 --> 3856.44]  in dit geval specifiek...
[3856.44 --> 3858.62]  binnen het domein van softwareontwikkeling...
[3858.62 --> 3860.10]  dat holy shit moment gaan hebben.
[3860.32 --> 3861.84]  Ik las laatst dus een artikel...
[3861.84 --> 3863.10]  in Binnenlands Bestuur...
[3863.10 --> 3864.50]  in dat artikel achtervolgt me.
[3864.62 --> 3866.88]  Dat ging over een dag...
[3866.88 --> 3867.84]  die ze bij de Belastingdienst...
[3867.84 --> 3868.84]  hadden georganiseerd...
[3869.44 --> 3869.96]  om...
[3869.96 --> 3871.64]  om COBOL...
[3871.64 --> 3873.02]  The Future of COBOL...
[3873.02 --> 3873.64]  heette die...
[3873.64 --> 3874.98]  heette die conferentie.
[3875.38 --> 3876.30]  Nou, dat vind ik gewoon...
[3876.30 --> 3878.20]  een heel grappige titel al...
[3878.20 --> 3879.60]  voor de luisteraars...
[3879.60 --> 3880.40]  COBOL is een vrij...
[3880.40 --> 3882.12]  prehistorische programmeertaal...
[3882.12 --> 3883.46]  die nog steeds gebruikt wordt...
[3883.46 --> 3884.50]  in allerlei...
[3884.50 --> 3886.12]  cruciale systemen in Nederland...
[3886.12 --> 3886.86]  waaronder bij banken...
[3886.86 --> 3888.06]  maar ook dus bij de Belastingdienst...
[3888.06 --> 3889.00]  en allerlei andere overheden.
[3889.48 --> 3891.10]  Het is een hele oude software...
[3891.10 --> 3892.36]  die geëmuleerd wordt...
[3892.36 --> 3893.62]  op moderne computers...
[3893.62 --> 3893.96]  en die eigenlijk...
[3894.48 --> 3895.90]  die iedereen er graag uit wil hebben...
[3895.90 --> 3896.90]  maar wat gewoon niet kan...
[3896.90 --> 3898.32]  omdat ze zo fundamenteel zijn...
[3898.32 --> 3899.54]  voor hoe die systemen...
[3899.54 --> 3900.96]  met de jaren zijn ingericht.
[3901.52 --> 3902.62]  En het lukt dus niet...
[3902.62 --> 3905.02]  om die systemen...
[3905.02 --> 3906.12]  uit te faseren...
[3906.12 --> 3907.24]  omdat het zo ingewikkeld is.
[3907.34 --> 3908.24]  En daarnaast...
[3908.24 --> 3909.82]  hebben we ook al problemen ermee...
[3909.82 --> 3912.72]  om die systemen te onderhouden...
[3912.72 --> 3914.20]  en om ze te gebruiken...
[3914.20 --> 3915.50]  omdat het aantal mensen...
[3915.50 --> 3917.02]  wat nog COBOL spreekt...
[3917.02 --> 3918.86]  steeds kleiner wordt.
[3919.22 --> 3921.54]  En er stond een getal in...
[3921.54 --> 3922.58]  wat ik nu niet paraat heb...
[3922.58 --> 3924.28]  maar een gigantisch aantal...
[3924.28 --> 3925.38]  van het aantal mensen...
[3925.38 --> 3927.24]  wat nu COBOL kan...
[3927.24 --> 3928.12]  gaat binnenkort met pensioen...
[3929.08 --> 3930.32]  dus ze zijn nu aan het...
[3931.46 --> 3933.18]  echt een heel groot percentage...
[3933.18 --> 3934.84]  van het totaal aantal mensen...
[3934.84 --> 3935.54]  dat COBOL kan...
[3935.54 --> 3936.52]  gaat op korte tijd...
[3936.52 --> 3937.66]  korte termijn met pensioen...
[3937.66 --> 3939.24]  wat dus problemen gaat veroorzaken...
[3939.24 --> 3941.32]  in heel veel delen van...
[3941.32 --> 3942.82]  soort van bedrijven...
[3942.82 --> 3944.16]  en overheid.
[3944.76 --> 3945.70]  En nu zijn ze dus...
[3945.70 --> 3946.78]  aan het kijken...
[3946.78 --> 3948.08]  of ze mensen terug kunnen halen...
[3948.08 --> 3948.58]  uit pensioen...
[3948.58 --> 3950.32]  of dat ze nieuwe mensen kunnen opleiden...
[3950.32 --> 3952.28]  om COBOL te leren...
[3952.28 --> 3953.54]  want anders dan kunnen we die systemen...
[3953.54 --> 3955.12]  en het heeft hele concrete gevolgen...
[3955.12 --> 3955.98]  dit gaat echt over...
[3955.98 --> 3958.72]  het lukt ons niet om belasting te innen...
[3958.72 --> 3959.70]  of het lukt ons niet...
[3959.70 --> 3961.64]  om bepaalde wensen van de Kamer...
[3961.64 --> 3962.76]  door te voeren...
[3962.76 --> 3965.40]  om het belastingstelsel te veranderen...
[3965.40 --> 3966.94]  omdat we niet de mensen hebben...
[3966.94 --> 3968.40]  die die technologie kunnen aanpassen.
[3968.54 --> 3969.88]  Dit is gewoon een probleem...
[3969.88 --> 3971.12]  met miljarden consequenties...
[3971.98 --> 3973.04]  ieder jaar in Nederland.
[3973.90 --> 3974.66]  Ik ben zo...
[3974.66 --> 3975.12]  zeg maar...
[3975.78 --> 3977.04]  nu zit dan iedereen...
[3977.04 --> 3978.42]  die conferent wordt dan georganiseerd...
[3978.42 --> 3978.88]  om te kijken...
[3978.88 --> 3979.32]  ja, nou...
[3979.32 --> 3980.52]  hoe kunnen we mensen zo weer krijgen...
[3980.52 --> 3982.58]  dat ze weer COBOL gaan leren...
[3982.58 --> 3984.14]  kunnen we ze een bonus geven...
[3984.14 --> 3986.06]  kunnen we ze ergens anders vandaan trekken...
[3986.06 --> 3987.66]  kunnen we een soort van zijstromers hebben...
[3987.66 --> 3988.84]  en die moeten dan...
[3988.84 --> 3991.12]  jarenlang werken...
[3991.12 --> 3993.12]  om die systemen van de belastingdienst...
[3993.12 --> 3993.98]  te gaan begrijpen...
[3993.98 --> 3997.40]  voordat ze ook maar een beetje productief kunnen worden...
[3997.40 --> 3998.38]  opeens denk ik...
[3998.38 --> 3999.86]  is dit niet een beetje een soort van...
[3999.86 --> 4000.80]  je hebt mensen die denken...
[4000.80 --> 4002.02]  bij klimaatverandering...
[4002.02 --> 4003.50]  technologie gaat het oplossen...
[4003.50 --> 4003.94]  weet je...
[4003.94 --> 4005.38]  we are all going to shit...
[4005.38 --> 4006.40]  maar toch niet...
[4006.40 --> 4007.20]  want uit...
[4007.20 --> 4008.90]  if shit comes to shove...
[4008.90 --> 4009.90]  er komt technologie...
[4010.52 --> 4011.42]  weet ik veel...
[4011.42 --> 4012.66]  mini kerncentrales...
[4012.66 --> 4015.72]  en allerlei dingen die uit de lucht gegeven worden...
[4015.72 --> 4018.52]  die dit probleem gaan oplossen...
[4018.52 --> 4021.24]  als je een techoptimist bent...
[4021.24 --> 4022.26]  op dit moment in de tijd...
[4022.26 --> 4023.38]  kun je misschien wel zeggen...
[4023.38 --> 4025.12]  en dit is een heel specifiek klein dingetje hoor...
[4025.12 --> 4026.56]  maar het heeft toch miljarden consequenties...
[4026.56 --> 4027.80]  dus stiekem onder de oppervlakte...
[4027.80 --> 4029.12]  best wel belangrijk...
[4029.12 --> 4030.20]  misschien is dit wel het dingetje...
[4030.20 --> 4031.46]  wat gaat maken dat...
[4031.46 --> 4033.84]  dat het niet uitmaakt...
[4033.84 --> 4036.36]  dat COBOL in die systemen zit...
[4036.36 --> 4038.12]  jouw verhaal doet mij heel erg denken aan...
[4038.12 --> 4039.70]  een discussie die ik ook had...
[4039.70 --> 4041.02]  een andere vriend...
[4041.02 --> 4042.10]  jaren geleden...
[4042.10 --> 4042.70]  die zei...
[4042.70 --> 4044.22]  ik ga geen rijbewijs halen...
[4044.22 --> 4046.30]  die is ook nog 30 plus...
[4046.30 --> 4047.46]  heeft nog geen rijbewijs...
[4047.46 --> 4048.80]  heeft het heel lang vooruitgeschoven...
[4048.80 --> 4050.42]  en is niet zo'n goede chauffeur sowieso...
[4050.42 --> 4051.30]  want dat lukt allemaal niet...
[4051.30 --> 4053.46]  want auto's gaan toch binnenkort wel zelf rijden...
[4053.46 --> 4053.80]  ja...
[4053.80 --> 4054.60]  nee die had op een gegeven moment...
[4054.60 --> 4055.56]  die zei echt tegen mij...
[4055.56 --> 4057.10]  ik heb het besloten...
[4057.10 --> 4057.44]  weet je...
[4057.44 --> 4058.76]  ik heb het besloten...
[4058.76 --> 4059.90]  ik ga het niet meer doen...
[4059.90 --> 4060.44]  ik wil het niet...
[4060.44 --> 4061.18]  want straks heb ik hem...
[4061.18 --> 4062.48]  en dan duurt het nog maar twee jaar...
[4062.48 --> 4064.42]  als is de investering niet waard...
[4064.42 --> 4067.20]  ja en ook de veiligheid van zelf rijden...
[4067.20 --> 4068.08]  wordt allemaal absurd...
[4068.08 --> 4068.74]  en autorijden...
[4068.74 --> 4071.20]  we hadden een hele hypothetische discussie...
[4071.20 --> 4072.18]  dit is echt...
[4072.18 --> 4073.44]  zes jaar geleden...
[4073.44 --> 4075.12]  ja het bleek toch wat langer te duren allemaal...
[4075.12 --> 4075.74]  oepsie...
[4075.74 --> 4076.08]  ja...
[4076.08 --> 4078.74]  maar ik heb nu soortgelijke discussies...
[4079.74 --> 4080.62]  mensen om me heen...
[4080.62 --> 4081.74]  ik maak zelf ook software...
[4082.30 --> 4084.06]  dat ik dan zeg van ja...
[4084.06 --> 4085.74]  moeten we nou nog een refactor gaan doen...
[4085.74 --> 4086.74]  een refactor betekent...
[4086.74 --> 4087.74]  we hebben eigenlijk iets gemaakt...
[4087.74 --> 4088.74]  en nu we eigenlijk weten...
[4088.74 --> 4090.42]  wat we eigenlijk gingen maken...
[4090.42 --> 4091.10]  achteraf...
[4091.10 --> 4092.36]  willen we opnieuw beginnen...
[4092.36 --> 4093.68]  dit hebben softwareontwikkelaars...
[4093.68 --> 4094.54]  de hele tijd...
[4094.54 --> 4096.80]  want je weet vaak pas wat je wil maken...
[4096.80 --> 4097.60]  als je het gemaakt hebt...
[4097.60 --> 4099.46]  en dan moet je eigenlijk opnieuw beginnen...
[4099.46 --> 4101.34]  en dat kan dan vaak nooit...
[4101.34 --> 4102.00]  en voor je het weet...
[4102.00 --> 4103.14]  heb je COBOL nog steeds...
[4103.14 --> 4104.60]  in je systeem zitten...
[4104.60 --> 4105.50]  ja...
[4105.50 --> 4107.44]  maar nu heb ik dus discussies...
[4107.44 --> 4109.34]  dat ik zeg ja...
[4109.34 --> 4110.96]  kunnen we het niet laten refactoren...
[4110.96 --> 4111.92]  door ChatGPT...
[4111.92 --> 4112.92]  nee nu nog niet...
[4112.92 --> 4115.02]  ja maar hoe ver is dat nou eigenlijk echt weg...
[4115.02 --> 4117.34]  dus dan krijg ik die zelfrijdende autodiscussie...
[4117.34 --> 4119.00]  met mijn eigen cynisme erbij...
[4119.00 --> 4119.38]  dat ik denk...
[4119.38 --> 4121.22]  oh die discussie weet ik ook nog...
[4121.22 --> 4122.66]  en...
[4122.66 --> 4124.08]  want het kan wel zo zijn...
[4124.08 --> 4125.18]  dat wil ik wel nog even noemen...
[4125.18 --> 4126.42]  voor de mensen die...
[4126.42 --> 4127.34]  nog steeds luisteren...
[4127.34 --> 4128.86]  naar deze lange tijd...
[4128.86 --> 4129.46]  en...
[4129.46 --> 4130.82]  weet ik veel...
[4130.82 --> 4132.58]  hun glas tegen de muur kapot hebben gegooid...
[4132.58 --> 4134.18]  als daadwerkelijke programmeur zijnde...
[4134.18 --> 4134.64]  van die wietse...
[4134.64 --> 4135.66]  die snapt het niet...
[4135.66 --> 4136.90]  kijk...
[4136.90 --> 4138.50]  het kan wel zo zijn...
[4138.50 --> 4140.32]  en dat is namelijk een aantal keer gebeurd...
[4140.32 --> 4142.62]  dus die historie wil ik best meenemen...
[4142.62 --> 4143.96]  is AI...
[4143.96 --> 4145.28]  kunstmatige intelligentie...
[4145.28 --> 4146.40]  dat bestaat al heel lang...
[4146.40 --> 4148.02]  vroeger noemde je het automatisering...
[4148.02 --> 4149.66]  maar ik heb het nu echt even over AI...
[4149.66 --> 4151.46]  dat zijn de wetenschappelijke discipline...
[4151.46 --> 4151.98]  waar je gewoon...
[4151.98 --> 4154.36]  je kon gewoon KI gaan studeren...
[4154.36 --> 4156.26]  aan de Universiteit Utrecht al heel lang...
[4156.26 --> 4156.68]  zeker...
[4156.68 --> 4160.38]  maar op een gegeven moment is dat in een soort winter terecht gekomen...
[4160.38 --> 4163.22]  net als de huidige crypto winter...
[4163.22 --> 4165.04]  heb je ook die AI winters...
[4165.04 --> 4166.26]  en een winter is eigenlijk...
[4166.26 --> 4168.50]  als je in allemaal dead ends loopt...
[4168.50 --> 4169.60]  je hebt wel de theorieën...
[4169.60 --> 4170.60]  maar niet de computers...
[4170.60 --> 4171.68]  of je hebt wel de theorieën...
[4171.68 --> 4172.88]  maar je hebt een probleem...
[4172.88 --> 4175.10]  en dat probleem blijkt zo fundamenteel...
[4175.10 --> 4176.58]  nou...
[4176.58 --> 4177.44]  ik ga nu...
[4177.44 --> 4178.48]  ik ga geen metafoor doen...
[4178.48 --> 4179.60]  maar iets wezenlijks...
[4179.60 --> 4180.38]  de blauwe led...
[4180.38 --> 4181.40]  hele goede video...
[4181.40 --> 4182.42]  op dit moment op YouTube...
[4182.42 --> 4183.22]  over blauwe leds...
[4183.22 --> 4184.08]  ik weet even niet van wie...
[4184.08 --> 4185.64]  maar een groot science kanaal...
[4185.64 --> 4186.32]  en het ging erover...
[4186.32 --> 4187.70]  de uitvinding van de blauwe led...
[4187.70 --> 4188.38]  dus een ledje...
[4188.38 --> 4189.46]  wat blauw licht geeft...
[4189.46 --> 4191.06]  in plaats van rood of groen...
[4191.06 --> 4191.80]  en dan kan jij denken...
[4191.80 --> 4192.38]  Alexander...
[4192.38 --> 4194.56]  dan doe je daar toch een ander stukje plastic omheen...
[4194.56 --> 4195.18]  denk je misschien...
[4195.18 --> 4195.56]  nee...
[4195.56 --> 4196.90]  want die kleur wordt gecreëerd...
[4196.90 --> 4199.06]  door een bepaald natuurkundig proces...
[4199.06 --> 4200.82]  de rode led was het makkelijkst...
[4200.82 --> 4201.74]  toen groen...
[4201.74 --> 4202.54]  toen geel...
[4202.54 --> 4205.36]  en toen hebben we 28 jaar moeten wachten op blauw of zo...
[4205.36 --> 4206.40]  ik wist dit helemaal niet...
[4206.40 --> 4207.74]  ik was gefascineerd...
[4207.74 --> 4208.30]  maar who cares?
[4209.04 --> 4209.48]  nou...
[4209.48 --> 4210.88]  who cares is dat...
[4210.88 --> 4211.14]  oh...
[4211.14 --> 4211.62]  hoe cares...
[4211.62 --> 4212.78]  je wil RGB hebben...
[4212.78 --> 4214.74]  dan kan je alle kleuren maken...
[4214.74 --> 4215.70]  dat kan nu nog niet...
[4215.70 --> 4216.66]  je kan van rood, groen en blauw...
[4216.66 --> 4217.90]  alle kleuren ter wereld maken...
[4217.90 --> 4218.74]  waaronder wit...
[4218.74 --> 4220.60]  maar ze hadden blauw niet...
[4220.60 --> 4222.00]  dus tot die tijd waren alle...
[4222.00 --> 4223.12]  alle computerledjes...
[4223.12 --> 4224.04]  alle radio's...
[4224.04 --> 4224.94]  en alle auto's...
[4224.94 --> 4226.00]  was oranje...
[4226.00 --> 4227.00]  rood of groen...
[4227.00 --> 4227.88]  nooit blauw...
[4227.88 --> 4228.66]  oké...
[4228.66 --> 4230.12]  en zeg maar...
[4230.12 --> 4230.90]  een...
[4230.90 --> 4233.30]  een scherm...
[4233.30 --> 4233.62]  gewoon niet...
[4233.62 --> 4234.48]  ik moet niet zeggen OLED...
[4234.48 --> 4235.30]  maar gewoon...
[4235.30 --> 4236.68]  een LCD scherm zeg maar...
[4236.68 --> 4238.10]  je moet dan drie kleuren maken...
[4238.10 --> 4239.58]  heel klein naast elkaar...
[4239.58 --> 4240.40]  en als je dat dan...
[4240.40 --> 4241.08]  heel snel doet...
[4241.08 --> 4241.70]  dan heb je toch...
[4241.70 --> 4242.86]  alle kleuren van de regenboog...
[4242.86 --> 4243.30]  met drie...
[4243.30 --> 4244.66]  de drie basiskleuren...
[4244.66 --> 4245.98]  dus het was alsof ze...
[4245.98 --> 4247.54]  de magische elixir konden mengen...
[4247.54 --> 4249.34]  ze misten nog één ingrediënt...
[4249.34 --> 4250.12]  en dat duurde...
[4250.12 --> 4251.08]  super lang...
[4251.08 --> 4253.30]  om dat ingrediënt erbij te krijgen...
[4253.30 --> 4254.80]  en alle grote...
[4254.80 --> 4255.76]  fabrikanten ter wereld...
[4255.76 --> 4256.68]  die dus LEDs maakten...
[4256.68 --> 4258.42]  chaseden allemaal die blauwe led...
[4258.42 --> 4259.34]  aanrader...
[4259.34 --> 4260.64]  waarom haal ik die blauwe led erbij?
[4260.96 --> 4261.78]  dat duurde echt...
[4261.78 --> 4262.86]  veel langer...
[4262.86 --> 4263.82]  dan mensen hadden gedacht...
[4263.82 --> 4264.86]  echt veel langer...
[4264.86 --> 4265.64]  en dan...
[4265.64 --> 4267.00]  en toen was die blauwe led er...
[4267.00 --> 4267.34]  boom...
[4267.34 --> 4268.02]  sluizen open...
[4268.02 --> 4268.74]  alles kon ineens...
[4268.74 --> 4270.16]  wat iedereen altijd al wilde...
[4270.16 --> 4270.48]  nou...
[4270.48 --> 4272.44]  het kan zeer goed zo zijn...
[4272.44 --> 4273.12]  ik denk...
[4273.12 --> 4274.58]  nu op de korte termijn niet...
[4274.58 --> 4276.50]  want daar hebben wij het al vaak over gehad...
[4276.50 --> 4277.20]  trust me...
[4277.20 --> 4278.02]  die Python code...
[4278.02 --> 4279.06]  die nu allemaal gebouwd is...
[4279.06 --> 4280.56]  om al die taalmodellen te draaien...
[4280.56 --> 4282.00]  is super inefficiënte troep...
[4282.00 --> 4282.96]  die aan elkaar gegooid is...
[4282.96 --> 4283.80]  door wetenschappers...
[4283.80 --> 4285.32]  om gewoon dingen te bewijzen...
[4285.32 --> 4286.82]  en nu het commercieel inzetbaar is...
[4286.82 --> 4288.24]  zit iedereen erbovenop...
[4288.24 --> 4289.92]  om dit efficiënter...
[4289.92 --> 4290.72]  sneller...
[4290.72 --> 4291.74]  minder energiegebruik...
[4291.74 --> 4293.08]  al die zaken te maken...
[4293.08 --> 4294.86]  dus er is nog een enorme headroom...
[4294.86 --> 4296.00]  zeg maar...
[4296.00 --> 4296.74]  simpelweg...
[4296.74 --> 4298.20]  zonder fundamentele wetenschap...
[4298.20 --> 4299.00]  uit te vinden...
[4299.00 --> 4300.10]  om wat we nu hebben...
[4300.10 --> 4301.70]  een GPT-5 te maken...
[4301.70 --> 4302.92]  zonder nieuwe uitvindingen...
[4302.92 --> 4303.74]  terwijl er eigenlijk ook...
[4303.74 --> 4305.08]  allemaal nieuwe uitvindingen zijn...
[4305.08 --> 4307.08]  dus ik zie die winter nog wel even...
[4307.08 --> 4307.80]  uitgesteld worden...
[4307.80 --> 4309.24]  maar...
[4309.24 --> 4310.34]  het kan zo zijn...
[4310.34 --> 4311.96]  dat net als bij die blauwe led...
[4311.96 --> 4313.24]  dat we...
[4313.24 --> 4314.28]  de mensheid...
[4314.28 --> 4315.76]  iedereen die hiermee bezig is...
[4315.76 --> 4316.32]  op een gegeven moment...
[4316.32 --> 4317.82]  tegen een fundamenteel probleem...
[4317.82 --> 4318.50]  aan gaat lopen...
[4318.50 --> 4319.76]  van de transformer...
[4319.76 --> 4320.66]  paradigm...
[4320.66 --> 4322.62]  waarop GPT gebaseerd is...
[4322.62 --> 4323.82]  waarop taalmodellen gebaseerd zijn...
[4325.10 --> 4326.80]  dat het inderdaad niet mogelijk is...
[4326.80 --> 4328.10]  om die hele codebase in te laden...
[4328.10 --> 4329.08]  van de ING...
[4329.08 --> 4330.74]  maar pas over 20 jaar...
[4330.74 --> 4331.72]  dat kan...
[4331.72 --> 4332.82]  dus dan is mijn hele...
[4333.38 --> 4334.18]  eh...
[4334.18 --> 4334.82]  ik maak me zorgen...
[4334.82 --> 4336.38]  datacenters...
[4336.38 --> 4338.26]  de hele samenleving wordt ontwricht...
[4338.26 --> 4338.82]  achtige verhaal...
[4339.76 --> 4340.48]  ineens gewoon...
[4340.48 --> 4340.82]  ineens nog maar...
[4341.48 --> 4342.56]  dan moet ik daar ineens...
[4342.56 --> 4343.54]  twintig jaar op wachten...
[4343.54 --> 4344.88]  het is die zelfrijdende auto...
[4344.88 --> 4345.16]  dat kan...
[4345.16 --> 4346.40]  kunnen we AI toch niet gebruiken...
[4346.40 --> 4347.84]  om het klimaatprobleem op te lossen...
[4347.84 --> 4348.46]  en dan gaan we alsnog...
[4348.46 --> 4349.82]  alsnog daaraan ten onder...
[4349.82 --> 4351.22]  in plaats van de robots...
[4351.22 --> 4351.96]  nou...
[4351.96 --> 4353.76]  hoe je het ook wint of keert...
[4353.76 --> 4354.94]  het valt altijd tegen...
[4354.94 --> 4355.64]  dit was Boki...
[4355.64 --> 4356.88]  de komende twee weken...
[4356.88 --> 4358.08]  zijn we er niet...
[4358.08 --> 4359.02]  want het is vakantie...
[4359.02 --> 4360.60]  in verschillende delen van Nederland...
[4360.60 --> 4361.76]  en dan zijn wij er weer...
[4361.76 --> 4362.86]  begin maart...
[4362.86 --> 4363.18]  tot dan...
[4363.18 --> 4365.08]  Ja, en gebruik je vakantie dan...
[4365.08 --> 4365.68]  zou ik zeggen...
[4365.68 --> 4367.38]  om eens rustig na te denken...
[4367.38 --> 4369.48]  met vrienden en mensen om je heen...
